"","IterYear","AgeInYears","cohortsize"
"11060",2042,48,4531877.57881408
"11061",2042,49,4433740.42464149
"11062",2042,50,4339949.91171682
"11063",2042,51,4250352.9864172
"11064",2042,52,4166470.30106142
"11065",2042,53,4162272.38763039
"11066",2042,54,4004339.48264481
"11067",2042,55,3927639.36624639
"11068",2042,56,3852183.89983917
"11069",2042,57,3777126.5181806
"11070",2042,58,3773534.16187057
"11071",2042,59,3625547.30104049
"11072",2042,60,3547971.38468353
"11073",2042,61,3468555.69964519
"11074",2042,62,3386966.30468606
"11075",2042,63,3304883.37566607
"11076",2042,64,3280447.66905666
"11077",2042,65,3131438.38992917
"11078",2042,66,3044526.05238907
"11079",2042,67,2957698.3770714
"11080",2042,68,2871512.24018461
"11081",2042,69,2788324.35384441
"11082",2042,70,2756845.0835889
"11083",2042,71,2625166.91984833
"11084",2042,72,2550955.78929244
"11085",2042,73,2482355.09496092
"11086",2042,74,2420720.07985988
"11087",2042,75,2408209.28208111
"11088",2042,76,2310288.80904089
"11089",2042,77,2262710.09128673
"11090",2042,78,2218486.20715163
"11091",2042,79,2176273.94349695
"11092",2042,80,2135650.73369369
"11093",2042,81,2134312.61657164
"11094",2042,82,2052889.65625409
"11095",2042,83,2012454.5197975
"11096",2042,84,1972622.72738845
"11097",2042,85,1933713.0425615
"11098",2042,86,1932733.21747593
"11099",2042,87,1859612.72033736
"11100",2042,88,1824620.50713113
"11101",2042,89,1791016.93474834
"11102",2042,90,1758840.3075418
"11103",2042,91,1589893.9318154
"11104",2042,92,1245576.31432987
"11105",2042,93,1244933.58442153
"11106",2042,94,1244286.34301004
"11107",2042,95,1243645.62135061
"11108",2042,96,1140936.36498314
"11109",2042,97,997397.822501809
"11110",2042,98,996746.22726533
"11111",2042,99,996090.269958745
"11112",2042,100,995434.937706054
"11113",2042,101,938110.337569368
"11114",2042,102,858179.532792138
"11115",2042,103,857615.953552541
"11116",2042,104,857045.030034024
"11117",2042,105,856475.466539658
"11118",2042,106,808910.350208384
"11119",2042,107,742606.172812199
"11120",2042,108,742111.201180579
"11121",2042,109,741614.300811789
"11122",2042,110,741117.418608992
"11123",2042,111,700296.462524126
"11124",2042,112,643397.377313105
"11125",2042,113,642977.890667987
"11126",2042,114,642560.363969074
"11127",2042,115,642142.648536606
"11128",2042,116,606444.406286774
"11129",2042,117,556673.185130832
"11130",2042,118,556311.288934426
"11131",2042,119,555949.876545114
"11132",2042,120,12413460.6253312
"11133",2043,0,10011376.3454723
"11134",2043,1,10112959.6667062
"11135",2043,2,10014560.170749
"11136",2043,3,10104437.0456237
"11137",2043,4,9808222.75939536
"11138",2043,5,9700403.81543285
"11139",2043,6,9589677.30555445
"11140",2043,7,9476274.94720862
"11141",2043,8,9362483.5411093
"11142",2043,9,9420260.7130955
"11143",2043,10,9120818.62688246
"11144",2043,11,8998461.30488263
"11145",2043,12,8875086.47384935
"11146",2043,13,8751144.94206789
"11147",2043,14,8629456.71429591
"11148",2043,15,8667780.3468019
"11149",2043,16,8380299.54347121
"11150",2043,17,8258639.98130904
"11151",2043,18,8138803.24838736
"11152",2043,19,8023251.47014399
"11153",2043,20,8058239.40237706
"11154",2043,21,7791826.88007559
"11155",2043,22,7680960.25882495
"11156",2043,23,7573445.83572641
"11157",2043,24,7469510.16052776
"11158",2043,25,7370523.72511979
"11159",2043,26,7410310.14065178
"11160",2043,27,7171287.60065781
"11161",2043,28,7070976.00449753
"11162",2043,29,6966744.96103
"11163",2043,30,6857048.00124275
"11164",2043,31,6871808.18762254
"11165",2043,32,6619602.95465275
"11166",2043,33,6493237.52240571
"11167",2043,34,6363874.57424377
"11168",2043,35,6233516.43818731
